GenAge ID,name,symbol,organism,functions,Entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence,observations
172,Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased),ddl-1,Caenorhabditis elegans,Predicted coiled-coil protein,173954,24,Increase,Anti-Longevity,anti;52.0;;170;11740945|anti;52.0;;170;11740945
173,Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased),ddl-2,Caenorhabditis elegans,,190025,24,Increase,Anti-Longevity,anti;;;171;15998808|anti;;;171;15998808
174,Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased),ddl-3,Caenorhabditis elegans,Kinesin light chain,175087,,Increase,Anti-Longevity,anti;;;172;16103914
175,DEgeneration Suppressor,des-2,Caenorhabditis elegans,Alpha subunit of nicotinic acetylcholine receptor (nAChR),179574,60,Increase,Anti-Longevity,anti;;;173;16103914
176,human DICE1 (Deleted In Cancer) homolog,dic-1,Caenorhabditis elegans,RNA helicase,177676,22,Increase,Anti-Longevity,anti;60.0;;174;10838697
177,DAF-12 Interacting Protein,din-1,Caenorhabditis elegans,,174782,,Decrease,Pro-Longevity,anti;22.0;;175;17411345
178,DJ-1alpha,DJ-1alpha,Drosophila melanogaster,Possibly involved in the pathogenesis of Parkinson disease,36543,,Decrease,Pro-Longevity,pro;;;176;15314028
179,dj-1beta,dj-1beta,Drosophila melanogaster,Possibly involved in the pathogenesis of Parkinson disease,43652,,Decrease,Pro-Longevity,pro;;13.0;177;17651920
180,D Kinase Family,dkf-2,Caenorhabditis elegans,Serine/threonine protein kinase PKC mu/PKD,180121,40,Increase,Anti-Longevity,pro;;40.0;178;17651920
181,DAP (Death Associated Protein kinase) Like Kinase,dlk-1,Caenorhabditis elegans,Serine/threonine protein kinase,173128,,Decrease,Pro-Longevity,anti;40.0;20.0;179;17728253
182,Daxx-like protein,DLP,Drosophila melanogaster,Possibly involved in apoptosis,33906,20,Decrease,Pro-Longevity,pro;;30.0;180;17592521
183,"Essential tripartite DNA replication factor with single-stranded DNA-dependent ATPase, ATP-dependent",DNA2,Saccharomyces cerevisiae,,856569,,Decrease,Pro-Longevity,pro;20.0;;181;17933869
184,dunce,dnc,Drosophila melanogaster,cAMP phosphodiesterase,31309,,Increase,Anti-Longevity,pro;;;182;12024027
185,Dnm1p,DNM1,Saccharomyces cerevisiae,Dynamin-related GTPase required for mitochondrial fission and the maintenance of mitochondrial morph,850686,,Increase,Anti-Longevity,anti;;70.0;183;17369827
186,DNA methyltransferase 2,Mt2,Drosophila melanogaster,Involved in DNA methylation,34632,,Increase,Pro-Longevity,anti;;;184;17173038
187,Downstream Of DAF-16 (regulated by DAF-16),dod-17,Caenorhabditis elegans,,187266,,Increase,Anti-Longevity,pro;;;185;15533947
188,Downstream Of DAF-16 (regulated by DAF-16),dod-18,Caenorhabditis elegans,Similar to nucleic acid-binding protein ASMTL,183813,,Increase,Anti-Longevity,anti;;;186;12845331
189,Downstream Of DAF-16 (regulated by DAF-16),dod-19,Caenorhabditis elegans,,178564,,Increase,Anti-Longevity,anti;;;187;12845331
190,Downstream Of DAF-16 (regulated by DAF-16),dod-20,Caenorhabditis elegans,,182037,,Increase,Anti-Longevity,anti;;;188;12845331
191,Downstream Of DAF-16 (regulated by DAF-16),dod-21,Caenorhabditis elegans,,183134,,Increase,Anti-Longevity,anti;;;189;12845331
192,Downstream Of DAF-16 (regulated by DAF-16),dod-22,Caenorhabditis elegans,,178247,,Increase,Anti-Longevity,anti;;;190;12845331
193,Downstream Of DAF-16 (regulated by DAF-16),dod-23,Caenorhabditis elegans,,186056,,Increase,Anti-Longevity,anti;;;191;12845331
194,Downstream Of DAF-16 (regulated by DAF-16),dod-24,Caenorhabditis elegans,Member of calpain protease family,178245,,Increase,Anti-Longevity,anti;;;192;12845331
195,deep orange,dor,Drosophila melanogaster,Cellular transport,31118,,Decrease,Pro-Longevity,anti;;;193;12845331
196,Protein DRR-1,drr-1,Caenorhabditis elegans,,174994,,Increase,Anti-Longevity,pro;;70.0;194;17435236
197,Protein DRR-2,drr-2,Caenorhabditis elegans,"mRNA cleavage and polyadenylation factor I complex, subunit RNA15",259546,,Increase,Anti-Longevity,anti;;;195;15998808
198,lethal (3) DTS3,l(3)DTS3,Drosophila melanogaster,Involved in ecdysone biosynthesis,249462,42,Increase,Anti-Longevity,anti;;;196;15998808
199,Protein E03H12.5,CELE_E03H12.5,Caenorhabditis elegans,,177262,,Increase,Anti-Longevity,anti;42.0;;197;12610309
200,CYtochrome C,cyc-2.1,Caenorhabditis elegans,Cytochrome C,177243,80,Increase,Anti-Longevity,anti;;;198;15998808
201,MAO-C-like dehydratase domain,maoc-1,Caenorhabditis elegans,Peroxisomal multifunctional beta-oxidation protein,174181,,Increase,Anti-Longevity,anti;80.0;;199;17608836
202,EATing: abnormal pharyngeal pumping,eat-1,Caenorhabditis elegans,,,30,Increase,Anti-Longevity,anti;;;200;16103914
203,EATing: abnormal pharyngeal pumping,eat-18,Caenorhabditis elegans,,13183021,60,Increase,Anti-Longevity,anti;30.0;;201;9789046
204,EATing: abnormal pharyngeal pumping EAT-2,eat-2,Caenorhabditis elegans,Nicotinic Acetylcholine receptor Dalpha5 family member,175072,,Increase,Anti-Longevity,anti;60.0;;202;9789046
205,EATing: abnormal pharyngeal pumping,eat-3,Caenorhabditis elegans,,174476,10,Increase,Anti-Longevity,anti;;;203;9789046
206,EATing: abnormal pharyngeal pumping,eat-6,Caenorhabditis elegans,,179796,40,Increase,Anti-Longevity,anti;10.0;;204;9789046
207,Ecdysone receptor,EcR,Drosophila melanogaster,Ecdysteroid hormone receptor activity,35540,50,Increase,Anti-Longevity,anti;40.0;;205;9789046
208,Elongation factor 148D,Ef1alpha48D,Drosophila melanogaster,Ef1alpha48D is involved in the binding of tRNA to ribosomes during protein synthesis,36271,41,Increase,Pro-Longevity,anti;50.0;;206;12610294
209,Epidermal growth factor-containing fibulin-like extracellular matrix protein 1,Efemp1,Mus musculus,Extracellular matrix (ECM) protein of unknown function,216616,20,Decrease,Pro-Longevity,pro;41.0;;207;2508089
210,Elongation Factor,eef-2,Caenorhabditis elegans,Elongation factor,172743,15,Decrease,Pro-Longevity,pro;20.0;30.0;208;17872905
211,EGg Laying defective,egl-10,Caenorhabditis elegans,"RGS protein, expressed in neurons",179707,,Increase,Anti-Longevity,pro;15.0;;209;17673661
212,EGg Laying defective,egl-3,Caenorhabditis elegans,Homolog of a mammalian proprotein convertase that participates in peptide secretion,179412,65,Increase,Anti-Longevity,anti;;;210;16380712|anti;;;210;16380712
213,EGg Laying defective,pkg-1,Caenorhabditis elegans,Cyclic GMP-dependant protein kinase involved in multiple signalling pathway,176991,55,Increase,Anti-Longevity,anti;;;211;15998808
214,EGg Laying defective,egl-45,Caenorhabditis elegans,Translation initiation factor (eIF) complex,176094,52,Increase,Anti-Longevity,anti;55.0;;212;12571101
215,enigma,Egm,Drosophila melanogaster,Mitochondrial protein involved in lipid metabolism,36242,,Increase,Anti-Longevity,anti;52.0;;213;17411345
216,abnormal cell LINeage,lin-40,Caenorhabditis elegans,Histone deacetylation,178788,24,Decrease,Pro-Longevity,anti;;;214;16434470|anti;;;214;16434470
217,Eukaryotic Initiation Factor,eif-3.B,Caenorhabditis elegans,Translation initiation factor (eIF) complex,175138,51,Increase,Anti-Longevity,pro;24.0;;215;18006689
218,Eukaryotic Initiation Factor,eif-3.F,Caenorhabditis elegans,Translation initiation factor (eIF) complex,174478,32,Increase,Anti-Longevity,anti;51.0;;216;17411345|anti;51.0;;216;17411345
219,fatty acid ELOngation,elo-5,Caenorhabditis elegans,Polyunsaturated fatty acid (PUFA) elongase,177320,45,Decrease,Pro-Longevity,anti;32.0;;217;17411345
220,Erythroid-Like Transcription factor family,elt-6,Caenorhabditis elegans,Transcription factor,176993,34,Increase,Anti-Longevity,pro;45.0;;218;18006689|pro;45.0;;218;18006689
221,Enhancer of PolyComb-like,epc-1,Caenorhabditis elegans,,176679,20,Increase,Anti-Longevity,anti;34.0;;219;17608836
222,"Excision repair cross-complementing rodent repair deficiency, complementation group 2",Ercc2,Mus musculus,Helicase involved in DNA repair and condensation,13871,,Decrease,Pro-Longevity,anti;20.0;;220;17608836
223,"Excision repair cross-complementing rodent repair deficiency, complementation group 4",Ercc4,Mus musculus,Involved in DNA repair,50505,,Decrease,Pro-Longevity,pro;;;221;11950998
224,Ezrin/Radixin/Moesin,erm-1,Caenorhabditis elegans,"Radixin, moesin",172174,15,Increase,Anti-Longevity,pro;;;222;17183314
225,Endoplasmic Reticulum Oxidase,ero-1,Caenorhabditis elegans,Endoplasmic Reticulum Oxidase,173325,32,Increase,Anti-Longevity,anti;15.0;;223;17411345
226,glutaminyl(Q) tRNA Synthetase,qars-1,Caenorhabditis elegans,,178415,40,Increase,Anti-Longevity,anti;32.0;;224;17411345
227,Protein TKT-1,tkt-1,Caenorhabditis elegans,"Transketolase, involved in sugar-phosphate metabolism",177906,25,Increase,Anti-Longevity,anti;40.0;;225;17608836
228,Protein F08B4.7,F08B4.7,Caenorhabditis elegans,Small nuclear ribonucleoprotein polypeptide C,177674,21,Increase,Anti-Longevity,anti;25.0;;226;17608836
229,C-type LECtin,clec-227,Caenorhabditis elegans,C-type lectin,184216,,Increase,Anti-Longevity,anti;21.0;;227;17608836
230,Protein F09F7.5,F09F7.5,Caenorhabditis elegans,,175764,,Increase,Anti-Longevity,anti;;;228;15998808
231,Protein MRPS-9,mrps-9,Caenorhabditis elegans,Could be a mitochondrial ribosomal protein,184267,60,Increase,Anti-Longevity,anti;;;229;15998808
232,Protein F13B6.1,F13B6.1,Caenorhabditis elegans,Homologue of mucin,184407,50,Increase,Anti-Longevity,anti;60.0;;230;17608836
233,Protein F13G3.7,F13G3.7,Caenorhabditis elegans,Predicted mitochondrial carrier protein,172478,25,Increase,Anti-Longevity,anti;50.0;;231;17608836
234,Protein F14B4.3,F14B4.3,Caenorhabditis elegans,RNA polymerase I subunit,172752,15,Increase,Anti-Longevity,anti;25.0;;232;12447374
235,SET (trithorax/polycomb) domain containing,set-9,Caenorhabditis elegans,PHD Zn-finger proteins,177196,20,Increase,Anti-Longevity,anti;15.0;;233;17521386|anti;15.0;;233;17521386
236,Protein F19B6.1,F19B6.1,Caenorhabditis elegans,Armadillo/beta-catenin/plakoglobin,178181,35,Increase,Anti-Longevity,anti;;;234;15998808
237,Protein MRPS-33,mrps-33,Caenorhabditis elegans,Could be a mitochodrial ribosomal protein,184770,36,Increase,Anti-Longevity,anti;35.0;;235;17411345
238,Protein F21H12.1,F21H12.1,Caenorhabditis elegans,WD40 repeat protein,174019,,Increase,Anti-Longevity,anti;36.0;;236;17608836
239,abnormal DAuer Formation,daf-10,Caenorhabditis elegans,,184883,60,Increase,Anti-Longevity,anti;;;237;15998808
240,Protein SYMK-1,symk-1,Caenorhabditis elegans,mRNA cleavage and polyadenylation,182490,24,Increase,Anti-Longevity,anti;60.0;;238;10617200
241,Protein F26A3.4,F26A3.4,Caenorhabditis elegans,Dual-specificity phosphatase,172525,27,Increase,Anti-Longevity,anti;24.0;;239;17411345
242,Protein F26E4.4,F26E4.4,Caenorhabditis elegans,Mitochondrial translation,259393,17,Increase,Anti-Longevity,anti;27.0;;240;17411345
243,Protein F26E4.6,F26E4.6,Caenorhabditis elegans,"Cytochrome c oxidase, subunit VIIc/COX8",3565338,60,Increase,Anti-Longevity,anti;17.0;;241;17521386|anti;17.0;;241;17521386|anti;17.0;;241;17521386|anti;17.0;;241;17521386
244,Protein F28B3.5,F28B3.5,Caenorhabditis elegans,,172111,30,Increase,Anti-Longevity,anti;;;242;12447374
245,Protein ACS-20,acs-20,Caenorhabditis elegans,Fatty acid transporter,178190,50,Decrease,Pro-Longevity,anti;30.0;;243;12447374
246,Protein F29C4.2,CELE_F29C4.2,Caenorhabditis elegans,Cytochrome C oxidase polypeptide,176828,100,Increase,Anti-Longevity,pro;50.0;;244;18006689|pro;50.0;;244;18006689
247,Protein USP-48,usp-48,Caenorhabditis elegans,Ubiquitin C-terminal hydrolase,172782,,Decrease,Pro-Longevity,anti;100.0;;245;17608836
248,Protein SAC-1,sac-1,Caenorhabditis elegans,Inositol polyphosphate-5- phosphatase,172778,25,Decrease,Pro-Longevity,pro;;;246;18006689
249,Protein F33D4.5,F33D4.5,Caenorhabditis elegans,Ribosomal protein of the L1p/L10e family,177549,57,Increase,Anti-Longevity,pro;25.0;;247;18006689|pro;25.0;;247;18006689
250,Protein F33H2.8,F33H2.8,Caenorhabditis elegans,,185238,36,Decrease,Pro-Longevity,anti;45.0;;248;17608836
251,Protein F35D2.3,F35D2.3,Caenorhabditis elegans,Fibrillins and related proteins containing Ca2+-binding EGF-like domains,174229,,Increase,Anti-Longevity,pro;36.0;;249;18006689
252,Protein F37C4.4,F37C4.4,Caenorhabditis elegans,,177145,,Decrease,Pro-Longevity,anti;;;250;12447374
253,Protein F40F12.7,CELE_F40F12.7,Caenorhabditis elegans,Similar to CBP/P300,176402,,Decrease,Pro-Longevity,pro;;;251;18006689
254,Protein F40F8.5,F40F8.5,Caenorhabditis elegans,,174702,,Increase,Anti-Longevity,pro;;;1015;18006689
255,CUTiclin-Like,cutl-28,Caenorhabditis elegans,,176895,28,Increase,Anti-Longevity,anti;;;252;15998808
256,hypothetical protein,F42A6.1,Caenorhabditis elegans,Olfactory receptor,185645,22,Increase,Anti-Longevity,anti;28.0;;253;17608836
257,Protein F42G10.1,F42G10.1,Caenorhabditis elegans,,181214,,Increase,Anti-Longevity,anti;22.0;;254;17608836
258,Protein F43D2.1,CELE_F43D2.1,Caenorhabditis elegans,Cyclin K,185704,20,Decrease,Pro-Longevity,anti;;;255;16380712
259,Protein MTCH-1,mtch-1,Caenorhabditis elegans,Mitochondrial carrier protein,174207,21,Increase,Anti-Longevity,pro;20.0;;256;18006689
260,Protein IDHA-1,idha-1,Caenorhabditis elegans,"Isocitrate dehydrogenase, alpha subunit",172655,,Increase,Anti-Longevity,anti;21.0;;257;17411345
261,Protein F49C12.9,F49C12.9,Caenorhabditis elegans,Ubiquitin-associated,177752,19,Increase,Anti-Longevity,anti;;;258;15998808
262,Protein F49F1.12,CELE_F49F1.12,Caenorhabditis elegans,,186068,,Increase,Anti-Longevity,anti;19.0;;259;17608836
263,Protein F52C6.2,CELE_F52C6.2,Caenorhabditis elegans,Ubiquitin-like protein,173558,19,Decrease,Pro-Longevity,anti;;;260;15998808
264,Protein F53F4.11,CELE_F53F4.11,Caenorhabditis elegans,,179849,27,Increase,Anti-Longevity,pro;19.0;;261;18006689
265,Protein F55B11.1,F55B11.1,Caenorhabditis elegans,,178381,,Increase,Anti-Longevity,anti;27.0;;262;17411345
266,Protein F55B11.3,F55B11.3,Caenorhabditis elegans,,178383,,Increase,Anti-Longevity,anti;;;263;15998808
267,Protein F55B11.5,F55B11.5,Caenorhabditis elegans,,3565591,,Increase,Anti-Longevity,anti;;;264;15998808
268,Protein HPO-31,hpo-31,Caenorhabditis elegans,tRNA nucleotidyltransferase,3565786,52,Decrease,Pro-Longevity,anti;;;265;15998808
269,AMP-Activated Kinase Beta subunit,aakb-1,Caenorhabditis elegans,Protein involved in Snf1 protein kinase complex assembly,181492,,Decrease,Pro-Longevity,pro;52.0;;266;18006689
270,Protein F56D5.5,CELE_F56D5.5,Caenorhabditis elegans,Golgi matrix protein,177772,20,Increase,Anti-Longevity,pro;;;267;16673436
271,Protein F57B10.3,F57B10.3,Caenorhabditis elegans,Phosphoglycerate mutase,172376,20,Increase,Anti-Longevity,anti;20.0;;268;17608836|anti;20.0;;268;17608836
272,"DAF-16/FOXO Controlled, germline Tumor affecting",dct-18,Caenorhabditis elegans,,174934,8,Decrease,Pro-Longevity,anti;20.0;;269;12447374
273,Protein MRPL-24,mrpl-24,Caenorhabditis elegans,Mitochondrial translation,172204,14,Increase,Anti-Longevity,pro;8.0;;270;17934462
274,Protein F59B2.8,CELE_F59B2.8,Caenorhabditis elegans,,186593,,Decrease,Pro-Longevity,anti;14.0;;271;17521386
275,Protein IDH-1,idh-1,Caenorhabditis elegans,NADP-dependent isocitrate dehydrogenase,177775,,Increase,Anti-Longevity,pro;;;272;17392428
276,EXOSome (multiexonuclease complex) component,exos-3,Caenorhabditis elegans,Ribosome biogenesis,186604,12,Increase,Anti-Longevity,anti;;;273;15998808
277,Protein F59C6.5,CELE_F59C6.5,Caenorhabditis elegans,Subunit of the NADH:ubiquinone oxidoreductase complex,172933,70,Increase,Anti-Longevity,anti;12.0;;274;17521386|anti;12.0;;274;17521386|anti;12.0;;274;17521386
278,FATty acid desaturase,fat-7,Caenorhabditis elegans,,179100,,Decrease,Pro-Longevity,anti;19.0;;275;17411345
279,"fructose-1,6-bisphosphatase",fbp-1,Caenorhabditis elegans,Fructose bisphosphatase,266822,,Increase,Anti-Longevity,pro;;;276;15719061
280,"Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway, required for gluc",FBP1,Saccharomyces cerevisiae,Glucose metabolism,851092,,Decrease,Anti-Longevity,anti;;;277;17673661
281,F-box A protein,fbxa-121,Caenorhabditis elegans,F-box A protein,189476,,Decrease,Pro-Longevity,anti;;;278;16199065
282,Fibroblast growth factor 23,Fgf23,Mus musculus,,64654,,Decrease,Pro-Longevity,pro;;;279;17392428|pro;;;279;17392428
283,fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae),FIS1,Saccharomyces cerevisiae,Mitochondrial outer membrane protein involved in membrane fission,854745,,Increase and Decrease,Anti-Longevity,pro;;;280;16436465|pro;;;280;16436465
284,Fob1p,FOB1,Saccharomyces cerevisiae,,851688,50,Increase,Anti-Longevity,anti;;;281;17173038|anti;;;281;17173038|anti;;;281;17173038|anti;;;281;17173038|anti;;;281;17173038
285,Forkhead box M1,Foxm1,Mus musculus,Transcriptional regulator that is important in development and cell proliferation,14235,,Decrease,Pro-Longevity,anti;50.0;;282;10230397
286,"Forkhead box, sub-group O",foxo,Drosophila melanogaster,Transcriptional regulator,41709,33,Increase,Pro-Longevity,pro;;;283;14647066|pro;;;283;14647066|pro;;;283;14647066
287,FRataxin (involved in human Friedrich's ataxia) Homolog,frh-1,Caenorhabditis elegans,Regulation of mitochondrial iron transport and respiration,174002,,Increase and Decrease,Unclear,pro;;;284;15175753|pro;;;284;15175753
288,Fourteen-Three-Three family,ftt-2,Caenorhabditis elegans,,181348,,Increase and Decrease,Pro-Longevity,anti;;;285;15771615|anti;;;285;15771615
289,four wheel drive,fwd,Drosophila melanogaster,1-phosphatidylinositol-4-kinase,45374,9,Increase,Pro-Longevity,pro;30.0;;286;16860373
290,frataxin,Fxn,Mus musculus,Regulation of mitochondrial iron transport and respiration,14297,,Decrease,Pro-Longevity,pro;9.0;;287;12620118
291,garnet,g,Drosophila melanogaster,gamma-subunit of AP-3 complex,44819,,Decrease,Pro-Longevity,pro;;;288;16278235
292,General Anaesthetic Sensitivity abnormal,gas-1,Caenorhabditis elegans,Subunit of complex I of the mitochondrial electron transport chain,181646,,Decrease,Unannotated,pro;;30.0;289;17435236
293,Glutamate-cysteine ligase catalytic subunit,Gclc,Drosophila melanogaster,Catalyzes the formation of glutathione,53581,50,Increase,Pro-Longevity,;;;290;15178135
294,Glutamate-cysteine ligase modifier subunit,Gclm,Drosophila melanogaster,Catalyzes the formation of glutathione,248194,24,Increase,Pro-Longevity,pro;50.0;50.0;291;16148000
295,Histone acetyltransferase,GCN5,Saccharomyces cerevisiae,,853167,50,Decrease,Unannotated,pro;24.0;;292;16148000|pro;24.0;;292;16148000|pro;24.0;;292;16148000|pro;24.0;;292;16148000
296,Guanylyl CYclase,gcy-28,Caenorhabditis elegans,"Natriuretic peptide receptor, guanylate cyclase",172051,,Increase,Anti-Longevity,fitness;;;293;15547318
297,Guanylyl CYclase,gcy-6,Caenorhabditis elegans,Guanylate cyclase,191644,,Increase,Anti-Longevity,anti;;;294;16103914
298,GDI (RabGDP Dissociation Inhibitor) family,gdi-1,Caenorhabditis elegans,Rab GDP dissociation inhibitor,178402,,Decrease,Pro-Longevity,anti;;;295;12845331
299,GEX Interacting protein,gei-15,Caenorhabditis elegans,,180951,13,Increase,Anti-Longevity,pro;;;296;18006689
300,Acyl CoA DeHydrogenase,acdh-13,Caenorhabditis elegans,acyl CoA dehydrogenase,177654,57,Increase,Anti-Longevity,anti;13.0;;297;17411345
